observation_date,NYGDPPCAPKDISR
1960-01-01,8790.79115541890
1961-01-01,9458.13687828878
1962-01-01,9927.99616951036
1963-01-01,10592.58738309720
1964-01-01,10989.86575395680
1965-01-01,11567.44130313210
1966-01-01,11268.06345618380
1967-01-01,11115.11025268210
1968-01-01,12653.07026418700
1969-01-01,13999.94553206710
1970-01-01,14532.97930386410
1971-01-01,15625.36711590960
1972-01-01,17083.55810697190
1973-01-01,17322.73503107290
1974-01-01,17903.86262967030
1975-01-01,18067.14795106160
1976-01-01,17725.25028730010
1977-01-01,17512.21918275890
1978-01-01,18099.30703742100
1979-01-01,18735.45227892990
1980-01-01,18596.52066294800
1981-01-01,19203.31609352310
1982-01-01,19238.49141548870
1983-01-01,19526.27380820570
1984-01-01,19452.60275649610
1985-01-01,19884.10013119960
1986-01-01,20399.21263659780
1987-01-01,21505.48677994680
1988-01-01,21767.59331481690
1989-01-01,21524.43153845110
1990-01-01,22395.11188257840
1991-01-01,22716.56687536420
1992-01-01,23647.78242864740
1993-01-01,23975.46863131920
1994-01-01,25097.99012688860
1995-01-01,26050.72659069430
1996-01-01,26859.87746085400
1997-01-01,27143.45600401510
1998-01-01,27620.65631158090
1999-01-01,27814.02605637830
2000-01-01,29413.48945781060
2001-01-01,28808.13001360370
2002-01-01,28195.86763891390
2003-01-01,28092.61762514860
2004-01-01,28883.24758854800
2005-01-01,29623.71728125770
2006-01-01,30734.96198353540
2007-01-01,32103.16285765670
2008-01-01,32554.04132119450
2009-01-01,32178.57273870150
2010-01-01,33344.72132940930
2011-01-01,34540.67497843980
2012-01-01,34738.65870010000
2013-01-01,35489.50865612470
2014-01-01,36129.31461058050
2015-01-01,36213.10414819580
2016-01-01,37093.78790654220
2017-01-01,37963.04911906960
2018-01-01,38729.64260369830
2019-01-01,39407.20160767090
2020-01-01,37935.54327171790
2021-01-01,40804.96898025360
2022-01-01,42516.38880902740
2023-01-01,42011.62139548550
2024-01-01,41845.16605675230
